order_book_id,datetime,close,low,total_turnover,open_interest,trading_date,volume,high,open
IF2312,2023-05-30 09:31:00,3803.4,3797.0,35373540.0,10095.0,2023-05-30,31.0,3806.6,3797.0
IF2312,2023-05-30 09:32:00,3799.8,3799.8,13687260.0,10091.0,2023-05-30,12.0,3804.8,3804.8
IF2312,2023-05-30 09:33:00,3800.2,3800.2,10263420.0,10087.0,2023-05-30,9.0,3802.6,3802.0
IF2312,2023-05-30 09:34:00,3802.8,3798.0,26224980.0,10075.0,2023-05-30,23.0,3803.6,3798.6
IF2312,2023-05-30 09:35:00,3800.0,3798.6,12544200.0,10076.0,2023-05-30,11.0,3802.8,3802.8
IF2312,2023-05-30 09:36:00,3807.8,3801.4,23967840.0,10062.0,2023-05-30,21.0,3807.8,3801.4
IF2312,2023-05-30 09:37:00,3809.8,3808.0,33155940.0,10045.0,2023-05-30,29.0,3812.8,3808.0
IF2312,2023-05-30 09:38:00,3803.4,3803.4,17121720.0,10036.0,2023-05-30,15.0,3807.0,3807.0
IF2312,2023-05-30 09:39:00,3806.8,3806.8,7995780.0,10034.0,2023-05-30,7.0,3808.4,3807.4
IF2312,2023-05-30 09:40:00,3808.8,3806.2,11424000.0,10032.0,2023-05-30,10.0,3809.6,3806.2
IF2312,2023-05-30 09:41:00,3810.8,3809.4,28587120.0,10024.0,2023-05-30,25.0,3813.8,3810.0
IF2312,2023-05-30 09:42:00,3812.4,3812.2,10294980.0,10021.0,2023-05-30,9.0,3814.0,3812.8
IF2312,2023-05-30 09:43:00,3811.6,3809.2,17147700.0,10012.0,2023-05-30,15.0,3811.6,3810.0
IF2312,2023-05-30 09:44:00,3812.8,3809.4,16007820.0,10007.0,2023-05-30,14.0,3812.8,3809.4
IF2312,2023-05-30 09:45:00,3813.8,3813.8,10300980.0,10001.0,2023-05-30,9.0,3815.6,3815.0
IF2312,2023-05-30 09:46:00,3813.6,3813.4,5720460.0,9999.0,2023-05-30,5.0,3814.0,3814.0
IF2312,2023-05-30 09:47:00,3814.8,3813.6,12589800.0,9994.0,2023-05-30,11.0,3816.4,3814.2
IF2312,2023-05-30 09:48:00,3813.2,3813.2,6865680.0,9992.0,2023-05-30,6.0,3815.0,3815.0
IF2312,2023-05-30 09:49:00,3815.0,3812.2,12584340.0,9991.0,2023-05-30,11.0,3815.0,3812.2
IF2312,2023-05-30 09:50:00,3809.0,3809.0,13718340.0,9988.0,2023-05-30,12.0,3813.0,3813.0
IF2312,2023-05-30 09:51:00,3809.6,3809.6,3429060.0,9988.0,2023-05-30,3.0,3810.6,3810.0
IF2312,2023-05-30 09:52:00,3811.6,3809.4,10287480.0,9989.0,2023-05-30,9.0,3811.6,3810.2
IF2312,2023-05-30 09:53:00,3809.4,3809.4,6860700.0,9990.0,2023-05-30,6.0,3813.4,3813.2
IF2312,2023-05-30 09:54:00,3806.0,3805.8,14849580.0,9988.0,2023-05-30,13.0,3808.6,3808.6
IF2312,2023-05-30 09:55:00,3806.6,3803.4,17123220.0,9989.0,2023-05-30,15.0,3806.6,3804.8
IF2312,2023-05-30 09:56:00,3806.0,3805.4,4567260.0,9989.0,2023-05-30,4.0,3806.6,3806.2
IF2312,2023-05-30 09:57:00,3808.6,3807.6,14854440.0,9986.0,2023-05-30,13.0,3810.0,3808.0
IF2312,2023-05-30 09:58:00,3809.4,3809.4,3429060.0,9987.0,2023-05-30,3.0,3810.8,3810.0
IF2312,2023-05-30 09:59:00,3813.0,3810.2,11438040.0,9983.0,2023-05-30,10.0,3814.2,3810.6
IF2312,2023-05-30 10:00:00,3811.0,3811.0,9148260.0,9983.0,2023-05-30,8.0,3812.8,3812.4
IF2312,2023-05-30 10:01:00,3809.8,3809.8,9146520.0,9984.0,2023-05-30,8.0,3812.8,3812.2
IF2312,2023-05-30 10:02:00,3813.6,3812.0,17160600.0,9983.0,2023-05-30,15.0,3814.8,3814.0
IF2312,2023-05-30 10:03:00,3814.4,3814.0,12588840.0,9982.0,2023-05-30,11.0,3816.0,3814.8
IF2312,2023-05-30 10:04:00,3814.0,3813.8,8010180.0,9981.0,2023-05-30,7.0,3816.0,3816.0
IF2312,2023-05-30 10:05:00,3813.6,3813.6,17163660.0,9983.0,2023-05-30,15.0,3815.2,3814.0
IF2312,2023-05-30 10:06:00,3813.0,3812.0,10295700.0,9985.0,2023-05-30,9.0,3813.6,3812.4
IF2312,2023-05-30 10:07:00,3814.8,3813.0,20595120.0,9994.0,2023-05-30,18.0,3814.8,3813.6
IF2312,2023-05-30 10:08:00,3815.8,3814.6,12589920.0,9998.0,2023-05-30,11.0,3815.8,3814.6
IF2312,2023-05-30 10:09:00,3813.8,3813.6,8009940.0,10000.0,2023-05-30,7.0,3814.8,3814.6
IF2312,2023-05-30 10:10:00,3809.6,3809.6,13720500.0,10002.0,2023-05-30,12.0,3812.2,3812.2
IF2312,2023-05-30 10:11:00,3810.0,3810.0,4572180.0,10003.0,2023-05-30,4.0,3810.4,3810.2
IF2312,2023-05-30 10:12:00,3807.0,3807.0,10282140.0,10005.0,2023-05-30,9.0,3809.2,3809.2
IF2312,2023-05-30 10:13:00,3806.2,3806.2,42264240.0,10009.0,2023-05-30,37.0,3808.4,3808.0
IF2312,2023-05-30 10:14:00,3804.2,3804.2,6849420.0,10007.0,2023-05-30,6.0,3805.8,3805.6
IF2312,2023-05-30 10:15:00,3806.4,3804.4,6850140.0,10007.0,2023-05-30,6.0,3806.4,3804.4
IF2312,2023-05-30 10:16:00,3805.0,3805.0,12559020.0,10011.0,2023-05-30,11.0,3806.8,3806.8
IF2312,2023-05-30 10:17:00,3804.2,3802.8,11412540.0,10014.0,2023-05-30,10.0,3805.2,3805.2
IF2312,2023-05-30 10:18:00,3801.4,3801.4,2281260.0,10013.0,2023-05-30,2.0,3802.8,3802.8
IF2312,2023-05-30 10:19:00,3799.8,3799.2,15960840.0,10014.0,2023-05-30,14.0,3801.0,3801.0
IF2312,2023-05-30 10:20:00,3799.2,3798.0,7978740.0,10019.0,2023-05-30,7.0,3800.4,3800.4
IF2312,2023-05-30 10:21:00,3796.8,3796.8,7974840.0,10021.0,2023-05-30,7.0,3798.6,3797.4
IF2312,2023-05-30 10:22:00,3798.2,3796.6,5696700.0,10022.0,2023-05-30,5.0,3798.4,3798.0
IF2312,2023-05-30 10:23:00,3794.4,3794.0,12525120.0,10020.0,2023-05-30,11.0,3797.4,3797.4
IF2312,2023-05-30 10:24:00,3794.8,3793.8,4553220.0,10021.0,2023-05-30,4.0,3794.8,3794.4
IF2312,2023-05-30 10:25:00,3796.0,3793.8,13661640.0,10020.0,2023-05-30,12.0,3796.2,3793.8
IF2312,2023-05-30 10:26:00,3793.6,3793.6,15934560.0,10021.0,2023-05-30,14.0,3794.0,3794.0
IF2312,2023-05-30 10:27:00,3793.6,3792.2,6827400.0,10020.0,2023-05-30,6.0,3793.6,3793.0
IF2312,2023-05-30 10:28:00,3794.0,3794.0,6830040.0,10023.0,2023-05-30,6.0,3795.0,3794.4
IF2312,2023-05-30 10:29:00,3791.2,3791.2,7964940.0,10025.0,2023-05-30,7.0,3793.8,3793.8
IF2312,2023-05-30 10:30:00,3791.6,3791.2,7964100.0,10026.0,2023-05-30,7.0,3793.4,3791.2
IF2312,2023-05-30 10:31:00,3791.6,3790.0,14782860.0,10029.0,2023-05-30,13.0,3791.6,3791.0
IF2312,2023-05-30 10:32:00,3789.6,3788.4,17055420.0,10028.0,2023-05-30,15.0,3792.0,3792.0
IF2312,2023-05-30 10:33:00,3790.8,3789.0,4548540.0,10031.0,2023-05-30,4.0,3791.4,3789.0
IF2312,2023-05-30 10:34:00,3788.0,3786.6,19323180.0,10029.0,2023-05-30,17.0,3790.0,3790.0
IF2312,2023-05-30 10:35:00,3786.8,3783.0,15897000.0,10026.0,2023-05-30,14.0,3786.8,3786.8
IF2312,2023-05-30 10:36:00,3786.0,3784.8,15900480.0,10029.0,2023-05-30,14.0,3786.6,3786.2
IF2312,2023-05-30 10:37:00,3788.0,3786.6,6817020.0,10029.0,2023-05-30,6.0,3788.0,3786.6
IF2312,2023-05-30 10:38:00,3787.8,3786.8,9090720.0,10029.0,2023-05-30,8.0,3789.0,3789.0
IF2312,2023-05-30 10:39:00,3783.8,3783.8,17035200.0,10033.0,2023-05-30,15.0,3787.6,3786.6
IF2312,2023-05-30 10:40:00,3787.0,3785.0,7949820.0,10035.0,2023-05-30,7.0,3787.0,3785.0
IF2312,2023-05-30 10:41:00,3786.8,3785.4,5679120.0,10039.0,2023-05-30,5.0,3787.0,3787.0
IF2312,2023-05-30 10:42:00,3785.4,3785.4,11358480.0,10036.0,2023-05-30,10.0,3787.0,3787.0
IF2312,2023-05-30 10:43:00,3787.6,3784.4,10222680.0,10036.0,2023-05-30,9.0,3787.6,3785.8
IF2312,2023-05-30 10:44:00,3788.6,3786.0,7953360.0,10033.0,2023-05-30,7.0,3788.6,3786.0
IF2312,2023-05-30 10:45:00,3790.6,3788.2,11368980.0,10032.0,2023-05-30,10.0,3790.6,3789.2
IF2312,2023-05-30 10:46:00,3789.6,3789.6,7959480.0,10030.0,2023-05-30,7.0,3790.8,3790.8
IF2312,2023-05-30 10:47:00,3790.4,3790.4,10236420.0,10030.0,2023-05-30,9.0,3792.0,3790.6
IF2312,2023-05-30 10:48:00,3789.6,3789.6,7960200.0,10028.0,2023-05-30,7.0,3791.4,3791.4
IF2312,2023-05-30 10:49:00,3793.8,3791.2,28458360.0,10032.0,2023-05-30,25.0,3796.6,3791.2
IF2312,2023-05-30 10:50:00,3794.0,3793.0,15934080.0,10036.0,2023-05-30,14.0,3794.2,3794.0
IF2312,2023-05-30 10:51:00,3795.2,3793.2,6829980.0,10037.0,2023-05-30,6.0,3795.2,3793.2
IF2312,2023-05-30 10:52:00,3793.4,3793.4,11381640.0,10036.0,2023-05-30,10.0,3794.4,3793.4
IF2312,2023-05-30 10:53:00,3795.0,3793.2,14806260.0,10040.0,2023-05-30,13.0,3798.0,3793.2
